iteration,record_id,n_inclusions,label
0,3107,1,1
1,46132,1,0
2,32587,1,0
3,32904,1,0
4,33781,1,0
5,6792,1,0
6,27924,1,0
7,31810,1,0
8,27787,1,0
9,367,1,0
10,684,1,0
11,31824,1,0
12,25136,1,0
13,14588,1,0
14,16370,1,0
15,655,1,0
16,18521,1,0
17,1047,1,0
18,2546,1,0
19,15089,1,0
20,8828,1,0
21,11096,1,0
22,16374,1,0
23,17465,1,0
24,4214,1,0
25,26000,1,0
26,3410,1,0
27,34643,1,0
28,17110,1,0
29,11766,1,0
30,36,1,0
31,48556,1,0
32,809,1,0
33,10241,1,0
34,4434,1,0
35,35388,1,0
36,15051,1,0
37,11476,1,0
38,21645,1,0
39,50181,1,0
40,2931,1,0
41,11911,1,0
42,14781,1,0
43,5620,1,0
44,6140,1,0
45,14046,1,0
46,14217,1,0
47,16985,1,0
48,48098,1,0
49,6336,1,0
50,1857,1,0
51,17955,1,0
52,6794,1,0
53,50382,1,0
54,50933,2,1
55,46328,2,0
56,31422,2,0
57,12964,3,1
58,14678,4,1
59,20699,4,0
60,26277,4,0
61,14681,5,1
62,27097,5,0
63,31193,6,1
64,50935,7,1
65,33992,8,1
66,18473,8,0
67,19670,8,0
68,12168,8,0
69,3142,8,0
70,3937,8,0
71,11873,8,0
72,21122,8,0
73,50584,8,0
74,21123,8,0
75,34690,8,0
76,32452,8,0
77,31867,8,0
78,50583,8,0
79,15000,9,1
80,31229,9,0
81,11947,9,0
82,31020,9,0
83,14306,10,1
84,16655,11,1
85,34802,11,0
86,16654,12,1
87,29497,13,1
88,31088,13,0
89,21236,13,0
90,31178,13,0
91,29997,13,0
92,30229,13,0
93,49589,13,0
94,48493,13,0
95,11972,13,0
96,32983,13,0
97,26708,13,0
98,48492,13,0
99,16815,14,1
100,34618,14,0
101,22102,14,0
102,14487,14,0
103,34619,14,0
104,29496,14,0
105,31386,15,1
106,34689,15,0
107,17265,16,1
108,33895,16,0
109,31687,16,0
110,31280,16,0
111,23853,16,0
112,11606,16,0
113,49985,16,0
114,18296,17,1
115,30498,17,0
116,14216,17,0
117,25361,17,0
118,31259,17,0
119,30047,17,0
120,11174,17,0
121,3152,17,0
122,11843,17,0
123,34607,17,0
