iteration,record_id,n_inclusions,label
0,23785,1,1
1,46132,1,0
2,32587,1,0
3,32904,1,0
4,33781,1,0
5,6792,1,0
6,27924,1,0
7,31810,1,0
8,27787,1,0
9,367,1,0
10,684,1,0
11,26340,1,0
12,26861,1,0
13,2606,1,0
14,3624,1,0
15,29112,1,0
16,31850,1,0
17,12276,1,0
18,8807,1,0
19,50879,1,0
20,10749,1,0
21,8808,1,0
22,10317,1,0
23,23758,1,0
24,26209,1,0
25,27230,1,0
26,19957,1,0
27,26312,1,0
28,21864,1,0
29,7043,1,0
30,18590,1,0
31,1355,1,0
32,18895,1,0
33,26708,1,0
34,347,1,0
35,15478,1,0
36,32474,1,0
37,28991,1,0
38,22399,1,0
39,25682,1,0
40,48493,1,0
41,20677,1,0
42,15594,1,0
43,28002,1,0
44,50321,1,0
45,3877,1,0
46,26277,1,0
47,15052,1,0
48,30005,1,0
49,26786,1,0
50,42609,1,0
51,20699,1,0
52,24815,1,0
53,26641,1,0
54,32525,1,0
55,45228,1,0
56,14678,2,1
57,14681,3,1
58,27097,3,0
59,14781,3,0
60,50935,4,1
61,31193,5,1
62,3937,5,0
63,33992,6,1
64,19670,6,0
65,31020,6,0
66,50933,7,1
67,12964,8,1
68,18473,8,0
69,31867,8,0
70,21122,8,0
71,21123,8,0
72,34690,8,0
73,12168,8,0
74,11972,8,0
75,11873,8,0
76,31229,8,0
77,15000,9,1
78,49589,9,0
79,29497,10,1
80,31386,11,1
81,30229,11,0
82,32983,11,0
83,31088,11,0
84,50583,11,0
85,14306,12,1
86,32452,12,0
87,16655,13,1
88,34802,13,0
89,16654,14,1
90,29997,14,0
91,31687,14,0
92,21236,14,0
93,50584,14,0
94,11947,14,0
95,48492,14,0
96,31178,14,0
97,3152,14,0
98,34689,14,0
99,15057,14,0
100,12348,14,0
101,29496,14,0
102,49985,14,0
103,22102,14,0
104,16815,15,1
105,34618,15,0
106,14487,15,0
107,31280,15,0
108,34619,15,0
109,30498,15,0
110,23853,15,0
111,1064,15,0
112,11606,15,0
113,3142,15,0
114,12299,15,0
115,17265,16,1
116,33895,16,0
117,11843,16,0
118,47170,17,1
119,18296,18,1
120,17468,18,0
121,11911,18,0
122,14780,19,1
123,15616,19,0
124,17818,19,0
125,35555,19,0
126,12866,20,1
127,26174,20,0
128,31673,20,0
129,17677,20,0
130,11760,20,0
131,13241,21,1
132,18137,21,0
133,26605,22,1
134,11759,22,0
135,13560,22,0
136,27752,22,0
